"forms_id","unit_id","gloss_id","gloss","form","source"
5650,1784,20,"word","badnůmgi",2
5660,1792,20,"word","badrūyi",2
5661,1792,20,"word","badrūygi",2
5680,1809,20,"word","badxoyi",2
5684,1813,20,"word","badxůni",2
5695,1822,20,"word","badǰāli",2
5696,1823,20,"word","baδamak",2
5701,1828,20,"word","bazebi",2
5729,1847,20,"word","bakal",2
5733,1851,20,"word","bakc",2
5734,1851,20,"word","baks",2
5735,1852,20,"word","bakcak",2
5736,1852,20,"word","baksak",2
5740,1856,20,"word","baladi",2
5745,1860,20,"word","baland-dālīʒ",2
5775,1872,20,"word","balwo",2
5796,1890,20,"word","balxi-dorx̌",2
5797,1890,20,"word","balxi-torx̌",2
5799,1892,20,"word","balɣam",2
5800,1893,20,"word","balɣočevak",2
5801,1893,20,"word","balɣočak",2
5802,1893,20,"word","balɣočefak",2
5818,1904,20,"word","banafšā",2
5821,1907,20,"word","bangdunā",2
5835,1920,20,"word","bandak-δorg",2
5836,1921,20,"word","bandak-ǰoy",2
5849,1930,20,"word","bandi-dast",2
5861,1939,20,"word","bao",2
5862,1939,20,"word","buo",2
5864,1941,20,"word","baor",2
5865,1941,20,"word","buor",2
5866,1941,20,"word","bor",2
5880,1947,20,"word","bar",2
5882,1949,20,"word","bar",2
5950,2003,20,"word","barkax̌",2
5952,2005,20,"word","barmāy",2
5962,2015,20,"word","barobar-x̌āb",2
5992,2040,20,"word","barfov",2
5997,2045,20,"word","barɣā",2
6020,2065,20,"word","bast",2
6038,2080,20,"word","bateǰ",2
6039,2080,20,"word","bāteǰ",2
6063,2100,20,"word","baxmal",2
6072,2108,20,"word","bax̌xā",2
6096,2125,20,"word","bašāndi",2
6097,2125,20,"word","bašandê",2
6100,2127,20,"word","baɣal",2
6105,2132,20,"word","baɣɣast",2
6139,2160,20,"word","bānd",2
6142,2163,20,"word","bānd-vūnd",2
6143,2163,20,"word","bām-vūnd",2
6144,2164,20,"word","bār",2
6145,2165,20,"word","bār",2
6154,2174,20,"word","bār-rīz",2
6155,2175,20,"word","bār-sitan",2
6163,2181,20,"word","bāt",2
6165,2183,20,"word","bātak",2
6178,2193,20,"word","bāǰib",2
6179,2193,20,"word","baǰib",2
6205,2213,20,"word","be-andex̌agi",2
6237,2238,20,"word","bewagi",2
6240,2241,20,"word","bewafogi",2
6241,2241,20,"word","bewafoyi",2
6244,2244,20,"word","bewaxti",2
6255,2254,20,"word","be-wixini",2
6267,2263,20,"word","bewudagi",2
6268,2263,20,"word","beudagi",2
6277,2268,20,"word","bewux̌i",2
6278,2268,20,"word","beux̌i",2
6298,2279,20,"word","begůnagi",2
6320,2300,20,"word","bedodi",2
6321,2300,20,"word","bedodgi",2
6331,2308,20,"word","bedůnā",2
6336,2313,20,"word","beδustī",2
6341,2318,20,"word","bezamīni",2
6346,2323,20,"word","bezebi",2
6347,2323,20,"word","bezebgi",2
6356,2332,20,"word","beziryoti",2
6372,2346,20,"word","beynsofi",2
6391,2364,20,"word","bekat",2
6403,2375,20,"word","bel",2
6405,2377,20,"word","belak",2
6410,2381,20,"word","belbicak",2
6411,2381,20,"word","belbic",2
6418,2385,20,"word","belčak",2
6424,2391,20,"word","bemadaniyati",2
6431,2397,20,"word","bemazagi",2
6479,2435,20,"word","ben",2
6484,2438,20,"word","benawogi",2
6485,2438,20,"word","benawoyi",2
6535,2475,20,"word","bepadari",2
6541,2480,20,"word","beparwogi",2
6542,2480,20,"word","beparvoyi",2
6543,2481,20,"word","beparδagi",2
6550,2487,20,"word","bespilāni",2
6578,2510,20,"word","besawobi",2
6601,2525,20,"word","besirix̌tagi",2
6643,2554,20,"word","betux̌agi",2
6644,2554,20,"word","betux̌ayi",2
6650,2559,20,"word","befarosati",2
6651,2559,20,"word","befirosati",2
6675,2579,20,"word","bexatari",2
6678,2582,20,"word","bexex̌i",2
6683,2586,20,"word","bexinūri",2
6684,2586,20,"word","bexinūrgari",2
6687,2589,20,"word","bexobi",2
6709,2609,20,"word","bečoragi",2
6712,2612,20,"word","bečori",2
6743,2641,20,"word","bequwwati",2
6744,2641,20,"word","bequwati",2
6791,2677,20,"word","biδānd",2
6792,2677,20,"word","biδān",2
6806,2689,20,"word","bizīg",2
6807,2689,20,"word","bizīk",2
6823,2700,20,"word","biyīx̌t",2
6876,2737,20,"word","bingak",2
6885,2741,20,"word","bino",2
6917,2762,20,"word","birinǰ",2
6918,2763,20,"word","birinǰ",2
6955,2787,20,"word","bismil",2
6962,2793,20,"word","bistůn",2
6965,2796,20,"word","bitůn",2
6968,2799,20,"word","bix̌kind",2
7003,2827,20,"word","biǰarx̌",2
7004,2827,20,"word","biǰarx̌-bīnǰ",2
7005,2828,20,"word","biǰilak",2
7034,2847,20,"word","bīwast",2
7036,2849,20,"word","bīg",2
7037,2850,20,"word","bīgbic",2
7050,2862,20,"word","bīnʒak",2
7060,2871,20,"word","bīr-wiδīǰ",2
7062,2873,20,"word","bīr-žīr",2
7067,2877,20,"word","bīr-mīδ",2
7096,2897,20,"word","bobšiqarθencak",2
7097,2897,20,"word","bobšiqarθenc",2
7123,2921,20,"word","bodrīng",2
7125,2923,20,"word","boduri",2
7126,2923,20,"word","bodurgari",2
7128,2925,20,"word","bodům",2
7141,2935,20,"word","boδīnakeǰ",2
7142,2935,20,"word","boδīngakeǰ",2
7146,2939,20,"word","bozi",2
7165,2955,20,"word","boy",2
7172,2962,20,"word","boyinǰůn",2
7173,2962,20,"word","baqlažān",2
7176,2965,20,"word","bolax̌",2
7181,2970,20,"word","bolo-xůnā",2
7182,2971,20,"word","bolo-šīr",2
7194,2981,20,"word","bor",2
7205,2991,20,"word","borix̌",2
7209,2994,20,"word","borůn",2
7218,3000,20,"word","bosmačigi",2
7219,3000,20,"word","bosmačigari",2
7233,3012,20,"word","boɣ",2
7239,3017,20,"word","boɣbůni",2
7246,3024,20,"word","boqi",2
7273,3046,20,"word","buzak",2
7280,3052,20,"word","bukul",2
7281,3052,20,"word","bikul",2
7292,3060,20,"word","bulbul",2
7293,3061,20,"word","bulbulak",2
7294,3062,20,"word","bulbulok",2
7338,3094,20,"word","bunkā",2
7365,3117,20,"word","bursoq",2
7366,3117,20,"word","burzoq",2
7372,3121,20,"word","butak",2
7421,3157,20,"word","buč-kiɣ̌īǰ",2
7427,3161,20,"word","buš",2
7437,3169,20,"word","buɣʒi",2
7438,3169,20,"word","buɣzi",2
7447,3177,20,"word","buqi",2
7451,3180,20,"word","buq-nůl",2
7452,3181,20,"word","buqri",2
7474,3199,20,"word","būm",2
7475,3200,20,"word","būn",2
7477,3202,20,"word","būn-x̌arvo",2
7478,3203,20,"word","būrǰ",2
7495,3214,20,"word","būǰīn",2
7496,3215,20,"word","būǰīnak",2
7518,3235,20,"word","bůna-ǰūyi",2
7524,3239,20,"word","bůn-wix̌ūɣ̌ǰ",2
7533,3248,20,"word","bůnǰ",2
7534,3249,20,"word","bůnǰ-xaltā",2
7547,3261,20,"word","vaz",2
7548,3261,20,"word","vaʒ",2
7554,3264,20,"word","vazič",2
7567,3276,20,"word","vaǰ-weδd",2
7579,3285,20,"word","vāx̌",2
7597,3298,20,"word","vêrʒ",2
7602,3303,20,"word","vêɣ̌ʒn",2
7603,3303,20,"word","vêɣ̌ʒ",2
7627,3312,20,"word","vidīrm",2
7628,3312,20,"word","δidīrm",2
7630,3314,20,"word","vidīrmak",2
7631,3315,20,"word","vidīrmbicak",2
7632,3315,20,"word","vidīrmbic",2
7634,3317,20,"word","vidīrmeǰ",2
7635,3317,20,"word","δidīrmeǰ",2
7641,3322,20,"word","vizdoǰ",2
7678,3349,20,"word","viro-līng",2
7679,3350,20,"word","virux̌čin",2
7685,3353,20,"word","virůɣ̌inak",2
7695,3360,20,"word","vīlus",2
7696,3361,20,"word","vīn",2
7703,3367,20,"word","vīri",2
7705,3369,20,"word","vīcak",2
7706,3369,20,"word","δīcak",2
7708,3369,20,"word","wicak",2
7718,3376,20,"word","voyd",2
7719,3377,20,"word","vor",2
7726,3381,20,"word","vorǰ-diwent",2
7732,3383,20,"word","voɣ̌ʒ-nêx",2
7742,3393,20,"word","vūɣ̌ʒ",2
7743,3394,20,"word","vūɣ̌ʒ-bīc",2
7744,3395,20,"word","vūɣ̌ʒ-rang",2
7747,3398,20,"word","vůr-ǰūɣ̌",2
7759,3408,20,"word","wazīri",2
7764,3413,20,"word","wazīfā",2
7780,3427,20,"word","walast",2
7783,3430,20,"word","walkat",2
7795,3438,20,"word","warāq",2
7801,3441,20,"word","wardīšk",2
7802,3442,20,"word","warδawax̌",2
7804,3444,20,"word","warδān",2
7810,3450,20,"word","warzast",2
7816,3455,20,"word","warmāk",2
7821,3460,20,"word","warx̌",2
7829,3468,20,"word","wasiqā",2
7833,3472,20,"word","wasf",2
7861,3496,20,"word","wax̌ā",2
7884,3515,20,"word","wāzān",2
7895,3524,20,"word","wān",2
7904,3532,20,"word","wārg-bic",2
7908,3536,20,"word","wārg-ǰīc",2
7914,3542,20,"word","wāšigari",2
7915,3542,20,"word","wāšigi",2
7930,3556,20,"word","wāǰ",2
7935,3559,20,"word","wed",2
7936,3560,20,"word","weʒor",2
7941,3564,20,"word","werůnā",2
7942,3564,20,"word","wayrůnā",2
7947,3568,20,"word","werůnkori",2
7949,3570,20,"word","wexak-wox̌",2
7951,3572,20,"word","wêb",2
7955,3574,20,"word","wêbak",2
7960,3579,20,"word","wêδ",2
7962,3581,20,"word","wêδak",2
7963,3582,20,"word","wêδ-gāl",2
7964,3583,20,"word","wêδcak",2
7966,3585,20,"word","wêpc",2
7967,3585,20,"word","wêpcak",2
7985,3597,20,"word","widůg",2
7986,3598,20,"word","widůgzor",2
7990,3602,20,"word","wiδêc",2
7992,3604,20,"word","wiδič",2
7993,3605,20,"word","wiδičak",2
8024,3627,20,"word","wilaw",2
8030,3633,20,"word","wilič",2
8032,3635,20,"word","wiloyat",2
8039,3642,20,"word","wilům",2
8042,3645,20,"word","wilůxč-x̌ac",2
8044,3647,20,"word","winīr",2
8045,3647,20,"word","winīrak",2
8058,3660,20,"word","wirīǰ",2
8072,3671,20,"word","wirʒwêx̌",2
8074,3673,20,"word","wirʒin",2
8076,3675,20,"word","wisêrn",2
8077,3676,20,"word","wisyat",2
8078,3676,20,"word","wasiyat",2
8079,3676,20,"word","wasīyat",2
8081,3678,20,"word","wiskūnd",2
8082,3678,20,"word","wiskūn",2
8086,3679,20,"word","wīskūndak",2
8087,3679,20,"word","wīskūnak",2
8117,3699,20,"word","witūk",2
8129,3709,20,"word","wix̌īʒ",2
8130,3710,20,"word","wix̌īʒak",2
8131,3711,20,"word","wix̌īʒak",2
8135,3715,20,"word","wix̌kīmc",2
8137,3717,20,"word","wix̌kīmcak",2
8141,3721,20,"word","wix̌ten",2
8145,3725,20,"word","wix̌tic",2
8146,3726,20,"word","wix̌ticzor",2
8149,3729,20,"word","wix̌ūɣ̌ǰ",2
8169,3743,20,"word","wīz",2
8187,3756,20,"word","wīs",2
8189,3758,20,"word","wīt-wīt",2
8191,3760,20,"word","wīx̌ak",2
8192,3761,20,"word","wobastagi",2
8214,3776,20,"word","wolč",2
8224,3785,20,"word","woskat",2
8225,3786,20,"word","wox̌",2
8227,3788,20,"word","wox̌zor",2
8240,3800,20,"word","woqiyā",2
8263,3815,20,"word","wuz-wuz",2
8280,3830,20,"word","wulčaki",2
8283,3832,20,"word","wulčāk",2
8287,3836,20,"word","wulčāk-bozi",2
8294,3843,20,"word","wuramā",2
8295,3843,20,"word","uramā",2
8299,3845,20,"word","wurz-wurz",2
8319,3855,20,"word","wuxyorgari",2
8321,3857,20,"word","wux̌yori",2
8322,3857,20,"word","wux̌yorgi",2
8357,3883,20,"word","wūrǰbuc",2
8359,3883,20,"word","wūrǰbic",2
8361,3884,20,"word","wūrǰ-bůst",2
8362,3884,20,"word","wurǰ-bůst",2
8367,3889,20,"word","wūs",2
8368,3890,20,"word","wūseǰ",2
8376,3897,20,"word","wůn-x̌abīʒ",2
8403,3911,20,"word","gawazn",2
8404,3911,20,"word","gawaz",2
8405,3912,20,"word","gawhar",2
8406,3912,20,"word","gawar",2
8425,3926,20,"word","gazambur",2
8426,3926,20,"word","gazanbur",2
8428,3928,20,"word","gazdum",2
8429,3928,20,"word","gaždum",2
8430,3929,20,"word","gazdūd",2
8439,3935,20,"word","gazzā",2
8441,3937,20,"word","gazzā",2
8449,3941,20,"word","gallabůn",2
8450,3941,20,"word","galabůn",2
8464,3950,20,"word","ganda-kori",2
8466,3952,20,"word","ganda-čumêδg",2
8467,3952,20,"word","ganda-čumêδ",2
8468,3952,20,"word","ganda-čimêδg",2
8473,3956,20,"word","gand-bêrʒ",2
8495,3973,20,"word","garδayeǰ",2
8496,3973,20,"word","garδaeǰ",2
8497,3974,20,"word","garδanak",2
8500,3977,20,"word","garδa-narmā",2
8502,3979,20,"word","garδani",2
8503,3980,20,"word","garδani",2
8504,3981,20,"word","garδa-pêxt",2
8508,3985,20,"word","garδān",2
8509,3985,20,"word","garδan",2
8512,3988,20,"word","garδov",2
8538,4008,20,"word","garx̌um",2
8539,4009,20,"word","garɣ̌",2
8543,4013,20,"word","gax̌nīʒ",2
8544,4014,20,"word","gax̌nīʒak",2
8545,4014,20,"word","gax̌nīʒ",2
8562,4026,20,"word","gāz",2
8590,4051,20,"word","gāč",2
8603,4060,20,"word","gerb",2
8608,4063,20,"word","gigiyen",2
8609,4063,20,"word","gigiena",2
8612,4066,20,"word","giyo",2
8624,4077,20,"word","gildůn",2
8627,4079,20,"word","gilīm",2
8628,4079,20,"word","gilem",2
8667,4107,20,"word","girdbod",2
8668,4107,20,"word","girdbodak",2
8671,4110,20,"word","girdix̌",2
8672,4110,20,"word","gardix̌",2
8680,4115,20,"word","girebůn",2
8687,4120,20,"word","girebůneǰ",2
8692,4123,20,"word","girezgo",2
8693,4123,20,"word","gurezgo",2
8710,4138,20,"word","girnofak",2
8711,4138,20,"word","gilnofak",2
8714,4140,20,"word","girū",2
8715,4140,20,"word","gurū",2
